draw_id,intercept,age_centered_40,sex_2,acuity_code_blank,acuity_code_unknown,acuity_code_no_triage_esa_conducts_triage,acuity_code_immediate,acuity_code_emergent,acuity_code_semi_urgent,acuity_code_nonurgent,acuity_code_no_nursing_triage_esa,arrival_transfer_context_blank,arrival_transfer_context_unknown,arrival_transfer_context_not_applicable,arrival_transfer_context_yes_transferred_from_hospital_or_urgent_care,fever_or_temp,tachycardia_burden,hypotension_burden,seed
0,-1.660236968873436,0.035256894834692618,0.27086983000281928,0.54448017823322181,0.21319295736516838,0.28901866054170483,0.85218009644228077,1.0474680615611964,-1.6521963872271226,-0.46313111399547974,-0.035639029157825311,-0.082101960537255186,-0.01892423927660998,-0.93034175866140401,1.310806323400159,0.38061141652904545,0.26889952062483724,0.75040742461150822,20260429
1,-1.5797808519746603,0.035384104460742222,0.17931874293054315,0.30115990964048367,0.10823335103493784,0.39386334766000658,0.85405800410924848,1.1554029970432771,-1.598106408296379,-0.67558417408465632,-0.24819581571242688,0.032588080243566686,0.26276836493518863,-0.92764196453501957,1.4779413855962082,0.55569259413659244,0.28363139324939501,0.91842399570147681,20260429
2,-1.6808881965065907,0.035126347338891056,0.10231121567417399,0.029426271732691245,0.2679149679066985,0.30717900352526339,1.8514093770257998,1.1172835151065961,-1.5749758719681737,-0.15670817449764218,-0.088260231536225933,-0.034309779979012772,0.037322324750976119,-0.86260098981617905,1.7167883587630244,0.36728878780496854,0.25122852392845207,0.87448516398181264,20260429
3,-1.5769494851941686,0.036279893255539097,0.10876604415644923,0.69727367868946333,0.25479417387640002,0.78951745738674928,0.49605798244941113,1.0592624669622923,-1.6331073089522647,0.042441763966934221,-0.27233844448481193,-0.18429917621226621,-0.079729977816014971,-0.98113451199371493,1.9457205586341972,0.3709361626113955,0.24526628202532966,0.69915199222215751,20260429
4,-1.5931528132433317,0.034613524106982714,0.20907682987999146,0.44933179621812913,0.22562155367951858,0.29648838973080655,0.65235525153887397,1.1107204605411289,-1.6104781100716252,-1.1463929707429683,-0.1579530842670672,-0.56988648739655634,-0.039305349615820231,-0.95628152982477554,1.6837187543021868,0.40994854859492375,0.27461628973654462,0.74182392318413282,20260429
5,-1.7508323543956203,0.037746698160503918,0.2322195424662043,0.42233269122040873,0.32848074819963585,0.32250212332113903,0.76144973507455149,1.1399056720147767,-1.3785930275815992,-0.27120232516939008,-0.13282367638381284,-0.16100778035431179,0.12663419855766533,-0.8758621896158667,1.3896562185134465,0.40395576192334148,0.24390158236386034,0.72387966452036434,20260429
6,-1.6106360521539131,0.033199484557091673,0.21886325786915631,0.001528098677798212,0.10482808056886701,0.2468796481921241,0.7516622864166822,1.0920089562685631,-1.6590202442435713,-0.43584976260450692,-0.32019471123322529,-0.378572895307691,-0.10168752545801703,-0.9394178469654656,1.9541445706547182,0.45705049565447975,0.25179259569090695,0.72424280806274499,20260429
7,-1.6946781276327025,0.034745628947482642,0.24402186483319949,0.027253599679142065,0.21190427944478415,0.17115335675702117,1.5807354273394325,1.0219382236401691,-1.8744564049419545,-0.25590484081909892,-0.15090683506602801,-0.38886186400307693,0.26201465344867675,-0.96222187477170529,1.7908868832552018,0.2852662340050604,0.24460705633754795,0.86092792257612394,20260429
8,-1.667402754379536,0.035786537835951593,0.23154266921554109,0.46180050034544162,0.15072088768893044,0.6161066209753483,1.404386200507622,1.0621860008427237,-1.2951015760403286,-0.66562865788276282,-0.17306793443850746,-0.22123157982320232,0.040917592548273561,-0.93517872090103871,1.3242835937021731,0.33521067746525468,0.25988534239887229,0.91362862334426975,20260429
9,-1.6750841582741456,0.032633405315558695,0.27000939868323726,-0.09563232047655551,0.18559031879746038,-0.077820775376059026,1.817022229019513,1.222679515667596,-1.5896765104248156,-0.49612352731380144,-0.25671820190073258,-0.071165913578653206,0.22657441328302727,-0.84422756885191741,1.6962411590132289,0.20027381891670992,0.23392863226641081,0.66948678544465623,20260429
