draw_id,intercept,age_centered_40,sex_2,high_acuity_proxy,fever_or_temp,tachycardia_burden,seed
0,-2.8455764881689829,0.044715161971451464,0.26846753174616667,1.443960408805727,0.20924071011981951,0.2464229902068116,20260504
1,-2.6996168081817542,0.036948086226221047,0.25447726314618219,1.620789097546123,0.30209253047642481,0.22929783893169178,20260504
2,-2.6884152902084621,0.037920088463754185,0.26738547669750623,1.5890552074946567,0.29433847564979959,0.25905549278302969,20260504
3,-2.7574401750451574,0.041300728376376938,0.22508077106587021,1.7032032806956501,0.18932682738742271,0.27343666691713669,20260504
4,-2.6201990040699048,0.038945236649456351,0.21855397525173265,1.5642784302434498,0.13749524866388102,0.20733372232422687,20260504
5,-2.6383729082202443,0.042166214812215955,0.26157039587750919,1.487786468737919,0.10898470215426119,0.24329570129010675,20260504
6,-2.7528439804144043,0.040083122204848096,0.29958153988197539,1.5059784964869694,0.27361575398732974,0.21896674261953344,20260504
7,-2.6512249651411057,0.039732662085582342,0.20456767283967497,1.4910859685497535,0.062525269142584133,0.29065418427744416,20260504
8,-2.6819140467641218,0.042934671219710924,0.29939388888466217,1.5625581951683107,-0.10509184743152059,0.24971082872940309,20260504
9,-2.8015993887554993,0.042306625033969182,0.19953676895039935,1.3464661784113279,0.34075851187520567,0.25403886442830548,20260504
10,-2.6681251696005179,0.041205557796632056,0.1584713106644097,1.4097287252179256,0.18818869722099468,0.25335383587155996,20260504
11,-2.6912787824928803,0.0418656569497768,0.26405942783464986,1.5944009554636218,0.48238403583787004,0.25818507950490205,20260504
12,-2.7361515075757543,0.043386403589330116,0.18140041261858614,1.4291498322412475,0.19400972406577069,0.25742821285625994,20260504
13,-2.7141392034287954,0.042123823055238652,0.30245004040251511,1.3745173335307719,0.21583269413494946,0.24447658731126004,20260504
14,-2.7333450871943628,0.042904809600463313,0.22148176208117809,1.5110900926531288,0.32203055961182797,0.24577761923382002,20260504
15,-2.6686768643984489,0.039284526936439079,0.18472062398373112,1.654956995412596,0.30274379398299112,0.26312058591053333,20260504
16,-2.6307457555572524,0.043733524007914637,0.24206061495859602,1.5511100080935436,0.23146184118948193,0.22921544050465309,20260504
17,-2.701267335961627,0.040977511720302298,0.2452855261179156,1.3755504417167763,0.24435553452303477,0.25108723945004963,20260504
18,-2.6352019006277567,0.038687453815143803,0.27853162509956336,1.6930723341121534,0.21878537897604186,0.23730581558039354,20260504
19,-2.6597752723845263,0.040757264366234572,0.25477181833686974,1.5423710545396283,0.10218612853297349,0.24906132346376922,20260504
20,-2.7115450185281729,0.044120642073958716,0.18605014479828139,1.4159192019421118,0.29728675954687367,0.23845120002797629,20260504
21,-2.7507191855308166,0.043321153211495121,0.312922062948779,1.5076366155823364,0.065117527386059193,0.28784799750907109,20260504
22,-2.6198953639742655,0.041044453774963262,0.13811247350835859,1.5804489491105147,0.13270799074676226,0.22519060256552356,20260504
23,-2.7129790531729716,0.042472886145758108,0.23327083089698858,1.4422554331387472,0.18057714167721012,0.23659772643695853,20260504
24,-2.6783663447910904,0.040832593136355864,0.24394833199362417,1.4880945269124837,0.094631914002370032,0.25864151066303182,20260504
25,-2.7619780682841912,0.043299380988865703,0.25295841648929401,1.5659618240576629,0.19482847965043093,0.27253261398387024,20260504
26,-2.7444791397950099,0.040696872458767352,0.2027084031005833,1.7830580874428636,0.27099079750098981,0.22779916003301867,20260504
27,-2.7311557082971549,0.041674019224326432,0.19715247099550137,1.5305580487957922,0.44343190738660154,0.21090348665597716,20260504
28,-2.6779592290240117,0.041477752642556473,0.18362731006392941,1.605036934032984,-0.047738044444216893,0.27718532041973754,20260504
29,-2.7712033485742849,0.042790424340912722,0.21620145704293037,1.3346669520090837,0.29201863400920541,0.25884561532276906,20260504
30,-2.7269525668879186,0.040422315484800284,0.19917318379945481,1.7145184708560328,0.18323315492902673,0.26150445687051799,20260504
31,-2.634525131415109,0.043647525173517526,0.18362383516461914,1.4446484767105987,-0.0076470618318144334,0.26704288005918586,20260504
32,-2.6252992681363665,0.042636692740821089,0.25384195907593171,1.4917620854528373,-0.11683388789035384,0.26486152678650043,20260504
33,-2.7239494752890265,0.044035808252399389,0.17470728047383929,1.514612122826505,0.37870280506924647,0.25898835423482319,20260504
34,-2.5979698701170579,0.035321541346287767,0.21890810947698575,1.5538095312004361,-0.087487285941453746,0.26943216043646301,20260504
35,-2.720168529261596,0.042118602867469775,0.21151257827399753,1.4879010009608291,0.15779991950881192,0.27706529989524631,20260504
