draw_id,intercept,age_centered_40,sex_2,high_acuity_proxy,fever_or_temp,tachycardia_burden,hypotension_burden,seed
0,-2.8191244179137258,0.043770436853806834,0.26450533462056264,1.6292643537359175,0.29849772782418821,0.29622880732607332,0.82398571362634376,20260504
1,-2.7769272021138347,0.041517430333096225,0.15694284452825558,1.4455393009733912,0.18216705350669724,0.28818546926550764,0.79624114905273236,20260504
2,-2.7199744767676504,0.039844218060382436,0.22484403595426139,1.3120370631171716,0.3458073099450813,0.35646613306334601,0.66684593706494966,20260504
3,-2.7085837621694386,0.04222015237525252,0.25824968107961166,1.4292383738459082,0.13132548482243503,0.32978038738177368,0.86713421711196625,20260504
4,-2.7143931297498018,0.041419102853032748,0.25608117336316488,1.4385613573062532,0.61584437517296298,0.24152491968886555,0.88901420959925803,20260504
5,-2.75467771730592,0.043329631451175063,0.19133387915841543,1.4173698163587558,0.27028761462938256,0.27179806637448251,0.67471029610271527,20260504
6,-2.6259597442437923,0.036740474764993723,0.28968442753469958,1.417224991774553,0.21073045335076945,0.24717009964717873,0.71643098837297459,20260504
7,-2.7766981829122828,0.044954160150992142,0.30932157381805492,1.4673516229305088,0.13132106576244629,0.26952965267215856,0.73508891792721154,20260504
8,-2.8033728709475572,0.043279737420019122,0.27542211099856001,1.3979224725920354,0.56221365935660161,0.24306613334935451,1.0440255753457024,20260504
9,-2.8168997228986803,0.043800593114600057,0.2772370853380477,1.3795002662281768,0.17233527877686605,0.31778911666780907,0.68167618096006677,20260504
10,-2.7310150188026934,0.041349854609571947,0.20795465018391948,1.3835029646184405,0.053828588322658133,0.34760925379678165,0.66984784855481427,20260504
11,-2.8545652989861487,0.043237646470009841,0.21844840357246734,1.4858552148561814,0.26965250841350341,0.30919721396190963,0.76147609075497724,20260504
12,-2.7186228277794404,0.042650018796079728,0.26118080192662091,1.518737972621798,0.44680368820236882,0.28313366334570822,0.84990930378029805,20260504
13,-2.6218895109449614,0.041285216976453293,0.17141045004845987,1.3829109104625259,0.14787373857062588,0.2847516816367755,0.89651131750024682,20260504
14,-2.6234772550449339,0.041516096686970518,0.19843099141263873,1.5508131366048052,0.20791783198592428,0.23883784390902799,0.69817097201228728,20260504
15,-2.7584059090520405,0.043672419413881655,0.33966012476662644,1.4911608879543676,0.3515949823449645,0.32183203105578029,0.85397349344573514,20260504
16,-2.6485181158433244,0.040187397026953113,0.2391227095911154,1.4321032054450269,0.32489632129395718,0.26295884994172708,0.73341879267623389,20260504
17,-2.7866874456855504,0.039816075431091454,0.30749876159083978,1.5354139774085296,0.34957873445483467,0.27033247258026277,0.73496671715982176,20260504
18,-2.7832540985114202,0.041784466146275429,0.34970281672670761,1.4449902953453262,0.1683832386180725,0.29524344393922858,0.79056711724602513,20260504
19,-2.7254307596346377,0.043794717782799829,0.26968839225420549,1.2375538024051482,0.24863220614057477,0.30242502632284068,0.92695713535320801,20260504
20,-2.7379701799179199,0.041362441079268217,0.28810853288530935,1.518312721983897,0.38958234688009163,0.27189435693370334,0.8509765291416872,20260504
21,-2.7381396262525897,0.041309454294139784,0.28917795264457746,1.4678719859164961,0.33237353945675363,0.26545355416989463,0.84270935310704531,20260504
22,-2.5996939805684285,0.041151952317843778,0.27822673690834443,1.5814862454017744,0.11300405141415079,0.30327170497104333,0.79878347606351274,20260504
23,-2.7052992291787814,0.039871116212691474,0.2634546887328113,1.5213953946665562,0.39794477264619765,0.24347213819279678,0.60692117809870738,20260504
24,-2.586109942267111,0.041560475360670555,0.22262245480345644,1.3636512315356084,0.066743208974558765,0.29415497035222021,0.83547638827268766,20260504
25,-2.6603243908047851,0.035735327144916618,0.19025151053302605,1.5137939418644564,0.65008106512711916,0.25794502958630017,0.72435904355148462,20260504
26,-2.6866616344077658,0.041029058939720808,0.29863773214213118,1.33325159385307,0.13873211429583218,0.27276964955327732,0.8426325586084864,20260504
27,-2.5270900592195225,0.040228965061059448,0.19067797909846995,1.4251948602733491,0.22144247389910121,0.29315825435326326,0.80003492177977509,20260504
28,-2.8138609771880345,0.040950454588953661,0.27980708041278701,1.5018374528661609,0.25537194171923255,0.328894997496537,0.89383160007784157,20260504
29,-2.6267976179871617,0.046077849441021321,0.21623744392733033,1.394399613335856,0.10037972659210551,0.30099926385462583,0.95264516567511781,20260504
30,-2.6727177061052365,0.040666130714469603,0.28723189453522407,1.4993185311797772,0.28439754043067139,0.26779603122426165,0.77994746009190052,20260504
31,-2.716630951779814,0.041149280043219369,0.1717901013226058,1.4677531015616603,0.29983856070196246,0.29158802619431518,0.691749206093625,20260504
32,-2.6976564614462819,0.039534432976905343,0.24596662425099031,1.5287428038570479,0.28337325117115109,0.31004231406615906,0.78377827661840194,20260504
33,-2.6871793491061653,0.041418628352310277,0.23534824973819196,1.4597684557368167,0.37400438303286065,0.3251053480497238,0.59468949814826799,20260504
34,-2.6774073424228311,0.042048895883903786,0.18715379529187454,1.4196635229239922,0.26802000808554038,0.25412591470185092,0.77405079843367131,20260504
35,-2.5301629523035118,0.040357629123432506,0.13099082043997112,1.4718155413069725,0.29001839130180773,0.26956595682696194,0.69959779576153902,20260504
36,-2.7353385238982058,0.039985044345751397,0.24091148988555733,1.6420181238794103,0.26503193205948328,0.28054100309883095,0.68229682695276817,20260504
37,-2.785028433814706,0.042480923087330084,0.2570345470460057,1.3794379013660503,0.33320430759589253,0.27257374518614919,0.79778822469112998,20260504
38,-2.5923346390639153,0.037788278342362105,0.1929840546244794,1.354058376352536,0.31601333909790569,0.25843800951784845,0.78115277378353809,20260504
39,-2.7513735176859422,0.044268063622339461,0.21961388044564023,1.5206436066472588,0.27690828860121375,0.28712672223905977,0.80189389211371964,20260504
40,-2.6882610311242177,0.039143480551780428,0.22204830333241593,1.3139212070756638,0.10472627199566834,0.32253646112476825,0.67810667212098186,20260504
41,-2.8163773500325546,0.043381299355647336,0.25650337308790838,1.4961259513139338,0.2991527869090771,0.30429324836467164,0.80567656729748904,20260504
42,-2.7407919088420623,0.042299441104626814,0.15026016131859926,1.5590719245250821,0.22112192743452971,0.26098890522958973,0.8435364865886682,20260504
43,-2.6885539843794075,0.042091419593172405,0.24266799462170982,1.3782532527632851,0.35481175791356662,0.31156076305293884,0.74593922035078775,20260504
44,-2.6195831995444832,0.037190463456261452,0.26691691210715057,1.5143289218526454,0.28859627780810659,0.28582065928776262,0.72645681614312485,20260504
45,-2.6641970682178244,0.036356818409247683,0.2540746989365239,1.5327808535188474,0.41668190780100778,0.29396577199359919,0.76512132333995897,20260504
